date,fed,y2,y5,y10,fed_fitted_p,y2_q_sse,y5_q_sse,y10_q_sse,y2_q_ratio,y5_q_ratio,y10_q_ratio
2005-09-30,0.0375,0.0416,0.0419,0.0432,0.03481224383339412,0.03825340955737456,0.03904234804594305,0.03983751119939638,0.03793929904308895,0.03844229364820174,0.038924820349961246
2005-10-31,0.0375,0.0437,0.0444,0.0455,0.03728842049673459,0.03825340955737456,0.03904234804594305,0.03983751119939638,0.03793929904308895,0.03844229364820174,0.038924820349961246
2005-11-30,0.04,0.0441,0.0441,0.0448,0.03728842049673459,0.04036707930215233,0.04071618711321756,0.041027100754117606,0.04038250101363492,0.04080349406165537,0.041157399499596216
2005-12-30,0.0425,0.044,0.0435,0.0438999999999999,0.039764597160075056,0.04248074904693011,0.042390026180492056,0.04221669030883883,0.0428257029841809,0.04316469447510901,0.04338997864923118
2006-01-31,0.045,0.0452,0.0445,0.0452,0.042240773823415526,0.04459441879170788,0.04406386524776655,0.04340627986356006,0.04526890495472686,0.04552589488856264,0.04562255779886614
2006-02-28,0.045,0.0467,0.046,0.0455,0.044716950486755995,0.04459441879170788,0.04406386524776655,0.04340627986356006,0.04526890495472686,0.04552589488856264,0.04562255779886614
2006-03-31,0.0475,0.0482,0.0481,0.0484999999999999,0.044716950486755995,0.04670808853648565,0.04573770431504105,0.04459586941828129,0.047712106925272835,0.04788709530201628,0.04785513694850111
2006-04-28,0.0475,0.0486,0.0491,0.0504999999999999,0.047193127150096464,0.04670808853648565,0.04573770431504105,0.04459586941828129,0.047712106925272835,0.04788709530201628,0.04785513694850111
2006-05-31,0.05,0.0503,0.0503,0.0512,0.047193127150096464,0.04882175828126343,0.047411543382315555,0.04578545897300251,0.050155308895818804,0.050248295715469925,0.05008771609813607
2006-06-30,0.0525,0.0515,0.0509,0.0513999999999999,0.04966930381343694,0.050935428026041195,0.049085382449590056,0.04697504852772374,0.05259851086636477,0.05260949612892355,0.05232029524777104
2006-07-31,0.0525,0.0495,0.049,0.0498,0.0521454804767774,0.050935428026041195,0.049085382449590056,0.04697504852772374,0.05259851086636477,0.05260949612892355,0.05232029524777104
2006-08-31,0.0525,0.0478,0.0469,0.0473,0.0521454804767774,0.050935428026041195,0.049085382449590056,0.04697504852772374,0.05259851086636477,0.05260949612892355,0.05232029524777104
2006-09-29,0.0525,0.0467999999999999,0.0458,0.0463,0.0521454804767774,0.050935428026041195,0.049085382449590056,0.04697504852772374,0.05259851086636477,0.05260949612892355,0.05232029524777104
2006-10-31,0.0525,0.0469,0.0455999999999999,0.046,0.0521454804767774,0.050935428026041195,0.049085382449590056,0.04697504852772374,0.05259851086636477,0.05260949612892355,0.05232029524777104
2006-11-30,0.0525,0.0461,0.0444,0.0446,0.0521454804767774,0.050935428026041195,0.049085382449590056,0.04697504852772374,0.05259851086636477,0.05260949612892355,0.05232029524777104
2006-12-29,0.0525,0.0481,0.0469,0.047,0.0521454804767774,0.050935428026041195,0.049085382449590056,0.04697504852772374,0.05259851086636477,0.05260949612892355,0.05232029524777104
2007-01-31,0.0525,0.0492,0.048,0.0481,0.0521454804767774,0.050935428026041195,0.049085382449590056,0.04697504852772374,0.05259851086636477,0.05260949612892355,0.05232029524777104
2007-02-28,0.0525,0.0464,0.0452,0.0457,0.0521454804767774,0.050935428026041195,0.049085382449590056,0.04697504852772374,0.05259851086636477,0.05260949612892355,0.05232029524777104
2007-03-30,0.0525,0.0457,0.0453,0.0464,0.0521454804767774,0.050935428026041195,0.049085382449590056,0.04697504852772374,0.05259851086636477,0.05260949612892355,0.05232029524777104
2007-04-30,0.0525,0.0458999999999999,0.0451,0.0462,0.0521454804767774,0.050935428026041195,0.049085382449590056,0.04697504852772374,0.05259851086636477,0.05260949612892355,0.05232029524777104
2007-05-31,0.0525,0.0491,0.0484999999999999,0.0489,0.0521454804767774,0.050935428026041195,0.049085382449590056,0.04697504852772374,0.05259851086636477,0.05260949612892355,0.05232029524777104
